,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
2935,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180924b_3209.png,3209,FRB20180924B,ASKAP,,0.0,PAF,1152-1488,58385.270454485,0.742467,-49.414787,21.0,361.42,+0.06/-0.06,,,12.3,,1.3,+0.09/-0.09,,,,16,+1/-1,,,80,+10/-10,,,14,+1/-1,,,,,,,https://doi.org/10.1126/science.aaw5903,0
3302,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190128b_3386.jpg,3386,FRB20190128B,CHIME,,0.0,,400-800,58511.3346706778,200.92,31.35,21.4,248.2302,+0.0059/-0.0059,,,0.81,+0.29/-0.29,1.97,,800.2,400.2,515.9,1.64,+0.47/-0.47,,,,,,,,,,,0.208,+0.055/-0.055,,,https://www.chime-frb.ca/catalog,1
6607,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220926a_6879.png,6879,FRB20220926A,DSA-110,,0.0,,1280-1530,59848.23593587645,110.6,12.72,18.16,441.98,,441.53,+0.03/-0.03,,,0.524288,,,,,,,,,17.5,+21/-21,2,+14.2/-14.2,,,,,,,,,"[https://doi.org/10.25800/e2xb-fv58, https://doi.org/10.3847/1538-4357/ad275e]",2
3371,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190609b_3610.jpg,3610,FRB20190609B,CHIME,,0.0,,400-800,58643.6996940258,122.36,28.7,76.5,292.1875,+0.001/-0.001,292.174,+0.007/-0.007,11.5,+4.9/-4.9,0.98,,778.7,400.2,487.1,22.2,+8.4/-8.4,,,30,+0.8/-0.8,,,28.1,+0.1/-0.1,29.7,+0.1/-0.1,<0.57,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3394,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190624b_3640.jpg,3640,FRB20190624B,CHIME,,0.0,,400-800,58658.9243159607,106.73,20.13,80.4,213.9222,+0.002/-0.002,213.947,+0.008/-0.008,16.5,+4.4/-4.4,0.98,,754.3,475.4,598.8,20,+5.2/-5.2,,,80.2,+0.1/-0.1,,,-16.527,+0.002/-0.002,4.00503,+0.006/-0.006,<0.4,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
2855,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190212c_3418.jpg,3418,FRB20190212C,CHIME,,0.0,,400-800,58526.419726214,205.0,72.02,33.2,1016.45,+0.033/-0.033,,,0.7,+0.29/-0.29,20.64,,800.2,400.2,498.1,12.2,+3.5/-3.5,,,,,,,,,,,10.1,+1.3/-1.3,,,https://www.chime-frb.ca/catalog,1
3414,,3674,FRB20200125A,GBT,,0.0,,350,58873.51064352,359.83,58.43,8.1,179.47,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wis-tns.org/object/20200125a,0
3331,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190624a_3639.jpg,3639,FRB20190624A,CHIME,,0.0,,400-800,58658.048081595,134.65,45.05,19.2,973.847,+0.033/-0.033,,,0.58,+0.26/-0.26,5.9,,704,400.2,400.2,3.01,+0.98/-0.98,,,,,,,,,,,0.95,+0.22/-0.22,,,https://www.chime-frb.ca/catalog,1
3242,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181230a_3328.jpg,3328,FRB20181230A,CHIME,,0.0,,400-800,58482.020793458,119.8,21.14,29.7,769.611,+0.015/-0.015,,,0.94,+0.54/-0.54,34.41,,800.2,543.5,724.8,18,+10/-10,,,,,,,,,,,41,+5.1/-5.1,,,https://www.chime-frb.ca/catalog,1
2849,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181231b_3334.jpg,3334,FRB20181231B,CHIME,,0.0,,400-800,58483.413824874,161.71,36.55,55.1,197.1697,+0.0017/-0.0017,197.366,+0.009/-0.009,0.89,+0.3/-0.3,2.95,,800,540.6,657.7,2.34,+0.73/-0.73,,,78,+1/-1,,,-9.66,+0.05/-0.05,10.51,+0.01/-0.01,1.75,+0.11/-0.11,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
5345,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010116a_5606.png,5606,FRB20010116A,Parkes,,0.0,13 beam,1230-1518,51925.8350412,317.2193,20.2243,7.3,131.7,,,,,,4.89,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3186,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181213b_3285.jpg,3285,FRB20181213B,CHIME,,0.0,,400-800,58465.6159448817,134.96,62.55,16.3,626.593,+0.015/-0.015,,,0.75,+0.47/-0.47,4.92,,800.2,529.6,664,1.7,+1/-1,,,,,,,,,,,<1.2,,,,https://www.chime-frb.ca/catalog,1
3273,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190131b_3392.jpg,3392,FRB20190131B,CHIME,,0.0,,400-800,58514.95674655,96.19,-47.36,17.1,1805.729,+0.0043/-0.0043,,,0.99,+0.51/-0.51,1.97,,800.2,514.4,798.1,3.3,+1.3/-1.3,,,,,,,,,,,<1.1,,,,https://www.chime-frb.ca/catalog,1
2836,,3149,FRB20171209A,Parkes,,0.0,13 beam,1182-1582,58096.852923516,332.3,6.2,40.0,1457.4,+0.03/-0.03,,,1.48,,2.5,,,,,>3.7,+0.1/-0.1,,,100,+1/-1,0,+1/-1,121.6,4.+2/-4.2,,,0.138,+0.015/-0.013,,,https://doi.org/10.1093/mnras/stz1751,2
2942,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181224a_3311.jpg,3311,FRB20181224A,CHIME,,0.0,,400-800,58476.061639597,109.84,-16.5,104.1,310.20644,+0.0004/-0.0004,,,4.3,+2.3/-2.3,1.97,,800.2,400.2,549.5,3.3,+1.8/-1.8,,,,,,,,,,,<0.4,,,,https://www.chime-frb.ca/catalog,1
7740,,8017,FRB20221116A,DSA-110,,0.0,,1280-1530,59899.22477867964,124.47,8.71,18.5852,643.448,,,,,,4.194304,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.25800/t9jd-fh86,0
3308,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190221d_3437.jpg,3437,FRB20190221D,CHIME,,0.0,,400-800,58535.9784260939,128.71,-1.4,13.0,473.7873,+0.0077/-0.0077,,,0.65,+0.2/-0.2,1.97,,800.2,400.2,427.2,1.13,+0.2/-0.2,,,,,,,,,,,<0.95,,,,https://www.chime-frb.ca/catalog,1
3259,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20121029a_3109.png,3109,FRB20121029A,Pushchino,,0.0,LPA,109.75-112.25,56229.67113426,115.32,-20.24,7.3,732.0,+5/-5,,,0.34,,,,,,,1380,,,,,,,,,,,,,,,,https://doi.org/10.1134/S1063772919110039,0
3321,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190630d_3654.jpg,3654,FRB20190630D,CHIME,,0.0,,400-800,58664.9581667379,224.58,39.91,19.7,323.5174,+0.0041/-0.0041,323.54,+0.003/-0.003,1.73,+0.51/-0.51,1.97,,780.6,400.2,400.2,2.6,+0.75/-0.75,,,59,+3/-3,,,5.1,+0.2/-0.2,4.8,+0.2/-0.2,<0.63,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3305,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190217b_3426.jpg,3426,FRB20190217B,CHIME,,0.0,,400-800,58531.9854290578,133.54,-35.12,16.7,846.212,+0.015/-0.015,,,0.54,+0.34/-0.34,26.54,,800.2,400.2,400.2,6,+2.2/-2.2,,,,,,,,,,,7.9,+1.4/-1.4,,,https://www.chime-frb.ca/catalog,1
2869,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20171003a_3144.png,3144,FRB20171003A,ASKAP,,0.0,PAF,1152-1488,58029.172231264,283.4,46.3,13.8,463.2,+1.2/-1.2,,,40.5,,2,+0.2/-0.2,,,,81,+5/-5,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
3233,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180321a_3162.png,3162,FRB20180321A,Pushchino,,0.0,LPA,109.75-112.25,58198.29576389,119.46,-20.72,8.2,596.0,+5/-5,,,0.54,,,,,,,2310,,,,,,,,,,,,,,,,https://doi.org/10.1134/S1063772919110039,0
3307,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190221a_3434.jpg,3434,FRB20190221A,CHIME,,0.0,,400-800,58535.2829221825,217.6,30.89,22.1,223.806,+0.017/-0.017,,,1.23,+0.36/-0.36,2.95,,606.5,400.2,444.8,2.33,+0.3/-0.3,,,,,,,,,,,0.408,+0.076/-0.076,,,https://www.chime-frb.ca/catalog,1
3188,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181214c_3289.jpg,3289,FRB20181214C,CHIME,,0.0,,400-800,58466.59463462,137.68,55.13,39.9,632.7849,+0.0039/-0.0039,632.832,+0.003/-0.003,1.2,+0.42/-0.42,5.9,,800.2,400.2,400.2,5,+1.6/-1.6,,,60,+3/-3,,,23.6,+0.2/-0.2,23.8,+0.2/-0.2,1.63,+0.16/-0.16,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3082,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180920b_3201.jpg,3201,FRB20180920B,CHIME,,0.0,,400-800,58381.861936688,124.26,53.59,15.8,463.4,+0.26/-0.26,,,0.35,+0.2/-0.2,10.81,,483.4,400.2,421.1,1.7,+0.53/-0.53,,,,,,,,,,,1.73,+0.36/-0.36,,,https://www.chime-frb.ca/catalog,1
6602,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220801a_6874.png,6874,FRB20220801A,DSA-110,,0.0,,1280-1530,59792.61776365554,135.2,12.71,11.77,413.416,,412.6,+0.04/-0.04,,,1.048576,,,,,,,,,30.1,+18/-18,-1.3,+13.7/-13.7,,,,,,,,,"[https://doi.org/10.25800/9bc8-gb65, https://doi.org/10.3847/1538-4357/ad275e]",2
3355,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190531c_3591.jpg,3591,FRB20190531C,CHIME,,0.0,,400-800,58634.56464487,93.31,-10.07,12.2,478.202,+0.034/-0.034,,,0.37,+0.31/-0.31,2.95,,540.6,400.2,453,1.2,+1/-1,,,,,,,,,,,<1.9,,,,https://www.chime-frb.ca/catalog,1
3413,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20200508a_3678.png,3678,FRB20200508A,UTMOST,,0.0,,835,58977.32094329,282.02,-12.56,14.33,629.0,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,https://astronomy.swin.edu.au/research/utmost/?p=2362,0
3339,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190628b_3649.jpg,3649,FRB20190628B,CHIME,,0.0,,400-800,58662.24768585,113.3,32.36,16.3,408.009,+0.016/-0.016,407.99,+0.02/-0.02,0.75,+0.26/-0.26,2.95,,583.5,400.2,400.2,1.39,+0.34/-0.34,,,80,+5/-5,,,19.2,+0.3/-0.3,19.7,+0.3/-0.3,0.471,+0.092/-0.092,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3054,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20151206a_3126.png,3126,FRB20151206A,Parkes,,0.0,13 beam,1183-1521,57362.258878123,32.65,-8.55,10.0,1909.8,+0.6/-0.6,,,0.3,+0.04/-0.04,3,+0.6/-0.6,,,,>0.9,+0.2/-0.2,,,,,,,,,,,11,+2/-2,,,https://doi.org/10.1093/mnras/stx3074,1
3264,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181022e_3235.jpg,3235,FRB20181022E,CHIME,,0.0,,400-800,58413.859262135,39.5,64.85,18.8,285.986,+0.014/-0.014,,,0.69,+0.35/-0.35,2.95,,560.3,400.2,443.7,2.08,+0.84/-0.84,,,,,,,,,,,0.632,+0.092/-0.092,,,https://www.chime-frb.ca/catalog,1
2967,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181017b_3224.jpg,3224,FRB20181017B,CHIME,,0.0,,400-800,58408.92970316,113.05,34.93,18.6,307.369,+0.034/-0.034,,,1.06,+0.73/-0.73,12.78,,704.8,499.3,593.2,6.5,+3.6/-3.6,,,,,,,,,,,4.3,+1.3/-1.3,,,https://www.chime-frb.ca/catalog,1
3367,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190530a_3588.jpg,3588,FRB20190530A,CHIME,,0.0,,400-800,58633.8385746666,147.22,8.75,14.9,555.445,+0.024/-0.024,,,0.58,+0.41/-0.41,1.97,,517.3,400.2,441.1,1.69,+0.9/-0.9,,,,,,,,,,,<1.3,,,,https://www.chime-frb.ca/catalog,1
3040,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190124d_3379.jpg,3379,FRB20190124D,CHIME,,0.0,,400-800,58507.6460823346,115.61,33.2,13.4,340.12,+0.017/-0.017,,,0.5,+0.33/-0.33,4.92,,651,400.2,402.1,1.9,+1.1/-1.1,,,,,,,,,,,0.97,+0.24/-0.24,,,https://www.chime-frb.ca/catalog,1
2931,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20171116a_3148.png,3148,FRB20171116A,ASKAP,,0.0,PAF,1152-1488,58073.625119273,205.0,-49.8,11.8,618.5,+0.5/-0.5,,,19.6,,3.2,+0.5/-0.5,,,,63,+2/-2,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
5305,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20000622c_5566.png,5566,FRB20000622C,Parkes,,0.0,13 beam,1230-1518,51717.86580694,302.7763,-43.1297,7.4,382.5,,,,,,11.19,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3336,,3663,FRB20190926B,WSRT,,0.0,PAFs,1350,58752.03093855,135.48,-30.65,15.0,957.3,+0.5/-0.5,,,,,2.2,+0.2/-0.2,,,,7.6,+1.5/-1.5,,,,,,,,,,,,,,,https://doi.org/10.1051/0004-6361/202244107,0
3113,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180817a_3181.jpg,3181,FRB20180817A,CHIME,,0.0,,400-800,58347.0757860647,68.3,53.98,65.1,1006.7714,+0.0085/-0.0085,,,2.4,+1.5/-1.5,17.69,,800.2,400.2,501.1,29,+16/-16,,,,,,,,,,,11.03,+0.58/-0.58,,,https://www.chime-frb.ca/catalog,1
3080,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180907a_3185.jpg,3185,FRB20180907A,CHIME,,0.0,,400-800,58368.260740451,77.77,-14.65,25.4,877.24,+0.011/-0.011,,,0.87,+0.56/-0.56,5.9,,648.6,400.2,400.2,2.8,+1.4/-1.4,,,,,,,,,,,0.264,+0.043/-0.043,,,https://www.chime-frb.ca/catalog,1
3388,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190613b_3618.jpg,3618,FRB20190613B,CHIME,,0.0,,400-800,58647.7890731372,158.98,-4.92,44.5,285.1379,+0.0014/-0.0014,285.088,+0.005/-0.005,1.08,+0.21/-0.21,0.98,,792.2,400.2,466.6,1.26,+0.27/-0.27,,,91,+0.9/-0.9,,,-22.18,+0.03/-0.03,-22.36,+0.03/-0.03,<0.45,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3158,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190213d_3421.jpg,3421,FRB20190213D,CHIME,,0.0,,400-800,58527.870624566,101.8,-4.08,25.0,1346.8476,+0.0022/-0.0022,1346.7,+0.4/-0.4,1,+0.55/-0.55,1.97,,800.2,496.6,671.4,2.2,+1.2/-1.2,,,89,+4/-4,,,-319.4,+0.4/-0.4,318.3,+0.5/-0.5,<0.7,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3005,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190115a_3362.jpg,3362,FRB20190115A,CHIME,,0.0,,400-800,58498.1440183232,141.39,-3.83,12.9,1021.684,+0.015/-0.015,,,0.46,+0.35/-0.35,2.95,,800.2,400.2,457.2,0.95,+0.56/-0.56,,,,,,,,,,,<1.2,,,,https://www.chime-frb.ca/catalog,1
3083,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181013a_3214.jpg,3214,FRB20181013A,CHIME,,0.0,,400-800,58404.0030332473,63.25,31.48,31.4,309.3055,+0.0022/-0.0022,,,2.81,+0.94/-0.94,0.98,,800.2,400.2,443.7,3.5,+1.2/-1.2,,,,,,,,,,,<0.56,,,,https://www.chime-frb.ca/catalog,1
3150,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181224e_3315.jpg,3315,FRB20181224E,CHIME,,0.0,,400-800,58476.7394706235,17.52,41.77,42.1,581.8537,+0.0041/-0.0041,581.84,+0.01/-0.01,3.6,+2/-2,1.97,,800.2,400.2,400.2,10.3,+4.9/-4.9,,,62,+2/-2,,,1.65,+0.08/-0.08,0.67,+0.09/-0.09,<1.1,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
3251,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190213c_3420.jpg,3420,FRB20190213C,CHIME,,0.0,,400-800,58527.11640311,156.57,-4.02,11.5,357.0634,+0.0056/-0.0056,,,0.62,+0.36/-0.36,1.97,,800.2,400.2,800.2,1.09,+0.59/-0.59,,,,,,,,,,,<0.81,,,,https://www.chime-frb.ca/catalog,1
3039,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190117d_3369.jpg,3369,FRB20190117D,CHIME,,0.0,,400-800,58500.5871702722,54.84,75.35,20.1,1178.063,+0.011/-0.011,,,0.78,+0.4/-0.4,2.95,,800.2,400.2,419.2,3.5,+1.5/-1.5,,,,,,,,,,,0.405,+0.099/-0.099,,,https://www.chime-frb.ca/catalog,1
3237,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180919b_3199.jpg,3199,FRB20180919B,CHIME,,0.0,,400-800,58380.353588037,109.42,-56.14,18.8,560.2214,+0.0073/-0.0073,,,2.56,+0.87/-0.87,0.98,,768.9,400.2,487.6,3,+1.2/-1.2,,,,,,,,,,,<0.5,,,,https://www.chime-frb.ca/catalog,1
5371,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010630c_5632.png,5632,FRB20010630C,Parkes,,0.0,13 beam,,52090.55943229,48.8172,17.1936,7.5,187.1,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,1
5359,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010122b_5620.png,5620,FRB20010122B,Parkes,,0.0,13 beam,1230-1518,51931.00648056,324.2434,-15.5397,7.9,364.0,,,,,,10.38,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
2875,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181222e_3308.jpg,3308,FRB20181222E,CHIME,,0.0,,400-800,58474.7187972099,124.97,24.72,36.7,327.9797,+0.0048/-0.0048,327.989,+0.004/-0.004,1.12,+0.7/-0.7,3.93,,672.3,400.2,492.8,5.5,+3.2/-3.2,,,70,+3/-3,,,-91.8,+0.1/-0.1,-92.9,+0.1/-0.1,0.79,+0.12/-0.12,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
